Attribute,Total Failures,Failure %
Translation,217,14.58%
Spelling Mistake,171,11.49%
"Translation
",122,8.2%
Addon - Missing/Wrong option name,114,7.66%
Image Uploaded to its Proper Item/Images weren't uploaded,60,4.03%
Missing items,58,3.9%
Item Name,50,3.36%
"Item Name
",44,2.96%
Categories,43,2.89%
Description,40,2.69%
"Missing Items
",36,2.42%
Add-ons,30,2.02%
Tax on Commission,26,1.75%
Item Price,26,1.75%
"Image Uploaded to its Proper Item/Images weren't uploaded
",25,1.68%
Business Type,19,1.28%
Name,19,1.28%
Full Address,19,1.28%
Delivery Charge,19,1.28%
"Description
",16,1.08%
"Item Price
",15,1.01%
No Missing Items,15,1.01%
Tags,15,1.01%
Delivery Type &amp; Target acceptance time,15,1.01%
"Role
",15,1.01%
"Platform, logistic &amp; Payments fees",15,1.01%
Direct/AM/Sales POC,13,0.87%
Add-ons Price,11,0.74%
"Platform Fee, Payment Gateway and Logistics Fees",11,0.74%
Contract File Uploaded,11,0.74%
Location Pin,10,0.67%
Send Delivery Related Info,10,0.67%
Discovery Radius,10,0.67%
Zone Name &amp; Extensional Zones,10,0.67%
Trade/Commercial License Copy,10,0.67%
"Addon (Min :Max)
",9,0.6%
Operational Hours,9,0.6%
Contract Date,9,0.6%
Addon Price,9,0.6%
"Item Operational Hours 
",8,0.54%
Zone Name/Zone Extensions,8,0.54%
City,8,0.54%
Role,7,0.47%
Outlet &amp; Contract Type,7,0.47%
Minimum Order Value,6,0.4%
"Image without Text/Price/Code/Logo/Graphics
",6,0.4%
Price Per Person,5,0.34%
Add-ons (Min/Max),5,0.34%
Brand Name,4,0.27%
Correct Image Size/Dimensions,4,0.27%
VAT/Tax Registration Certificate Copy,3,0.2%
Addon (Min :Max),3,0.2%
Email,3,0.2%
Priority Numbers For Live Order Issues,3,0.2%
"Profile Name
",3,0.2%
Phone Number,3,0.2%
"Hero Image
",3,0.2%
Logo Missing,2,0.13%
Food Prep Time,2,0.13%
Correct Brand Linked,2,0.13%
Profile Name,2,0.13%
"Full Address
",2,0.13%
"Correct Image Size/Dimensions
",2,0.13%
Outlet Tax Registered,2,0.13%
"Name
",1,0.07%
MIF File Uploaded ,1,0.07%
"Send Delivery Related Info
",1,0.07%
Remove Items,1,0.07%
Item Operational Hours ,1,0.07%
Outlet Name,1,0.07%
Images Pixelated,1,0.07%
Item Operational Hours,1,0.07%
"Adding or linking Company Details
",1,0.07%
Total,1488,1.37%
