Attribute,Total Failures,Failure %
Tax on Commission,26,8.2%
Business Type,19,5.99%
Name,19,5.99%
Delivery Charge,19,5.99%
Full Address,16,5.05%
Delivery Type &amp; Target acceptance time,15,4.73%
"Role
",15,4.73%
"Platform, logistic &amp; Payments fees",15,4.73%
Direct/AM/Sales POC,13,4.1%
Tags,12,3.79%
"Platform Fee, Payment Gateway and Logistics Fees",11,3.47%
Contract File Uploaded,11,3.47%
Send Delivery Related Info,10,3.15%
Discovery Radius,10,3.15%
Zone Name &amp; Extensional Zones,10,3.15%
Trade/Commercial License Copy,10,3.15%
Contract Date,9,2.84%
Role,7,2.21%
Outlet &amp; Contract Type,7,2.21%
City,7,2.21%
Location Pin,6,1.89%
Minimum Order Value,6,1.89%
Operational Hours,6,1.89%
Price Per Person,5,1.58%
Brand Name,4,1.26%
VAT/Tax Registration Certificate Copy,3,0.95%
Email,3,0.95%
Priority Numbers For Live Order Issues,3,0.95%
"Profile Name
",3,0.95%
Phone Number,3,0.95%
Food Prep Time,2,0.63%
Correct Brand Linked,2,0.63%
Profile Name,2,0.63%
"Full Address
",2,0.63%
Outlet Tax Registered,2,0.63%
"Name
",1,0.32%
MIF File Uploaded ,1,0.32%
"Send Delivery Related Info
",1,0.32%
"Adding or linking Company Details
",1,0.32%
Total,317,2.56%
