Attribute,Total Failures,Failure %
Translation,217,18.53%
Spelling Mistake,171,14.6%
"Translation
",122,10.42%
Addon - Missing/Wrong option name,114,9.74%
Image Uploaded to its Proper Item/Images weren't uploaded,60,5.12%
Missing items,58,4.95%
Item Name,50,4.27%
"Item Name
",44,3.76%
Categories,43,3.67%
Description,40,3.42%
"Missing Items
",36,3.07%
Add-ons,30,2.56%
Item Price,26,2.22%
"Image Uploaded to its Proper Item/Images weren't uploaded
",25,2.13%
"Description
",16,1.37%
"Item Price
",15,1.28%
No Missing Items,15,1.28%
Add-ons Price,11,0.94%
"Addon (Min :Max)
",9,0.77%
Addon Price,9,0.77%
"Item Operational Hours 
",8,0.68%
Zone Name/Zone Extensions,8,0.68%
"Image without Text/Price/Code/Logo/Graphics
",6,0.51%
Add-ons (Min/Max),5,0.43%
Location Pin,4,0.34%
Correct Image Size/Dimensions,4,0.34%
Operational Hours,3,0.26%
Tags,3,0.26%
Full Address,3,0.26%
Addon (Min :Max),3,0.26%
"Hero Image
",3,0.26%
Logo Missing,2,0.17%
"Correct Image Size/Dimensions
",2,0.17%
Remove Items,1,0.09%
Item Operational Hours ,1,0.09%
City,1,0.09%
Outlet Name,1,0.09%
Images Pixelated,1,0.09%
Item Operational Hours,1,0.09%
Total,1171,2.56%
