Attribute,Total Failures,Failure %
Translation,38,17.51%
Description,23,10.6%
Addon - Missing/Wrong option name,19,8.76%
Item Price,15,6.91%
Item Name Incorrect,14,6.45%
Spelling Mistake,11,5.07%
Item Name,11,5.07%
"Image Uploaded to its Proper Item/Images weren't uploaded
",8,3.69%
Following The Right Tree/Wrong Mapping,7,3.23%
Missing items,6,2.76%
Main Categories Name,6,2.76%
Addon (Min :Max),5,2.3%
Categories,5,2.3%
Image Uploaded to its Proper Item,5,2.3%
Sub-Categories Name,4,1.84%
Tax on Commission,3,1.38%
Image with Text/Price/Code/Logo/Graphics,3,1.38%
Operational Hours,2,0.92%
Tags,2,0.92%
Outlet Contract Type,2,0.92%
Location Pin,2,0.92%
Name,2,0.92%
Contract File Uploaded,2,0.92%
"Correct Image Size/Dimensions
",2,0.92%
VAT/Tax Registration Certificate Copy,2,0.92%
Contract Date,2,0.92%
Business Type,1,0.46%
Send Related Info,1,0.46%
Profile Name,1,0.46%
Direct/AM/Sales POC,1,0.46%
Zone Name &amp; Extensional Zones,1,0.46%
Outlet Tax Registered,1,0.46%
"Adding or linking Company Details
",1,0.46%
"Hero Image
",1,0.46%
"Image without Text/Price/Code/Logo/Graphics
",1,0.46%
Correct Image Size/Dimensions,1,0.46%
Delivery Charge,1,0.46%
Certificates Address,1,0.46%
City,1,0.46%
Email,1,0.46%
Brand Name,1,0.46%
Price Per Person,1,0.46%
Total,217,2.38%
