Attribute,Total Failures,Failure %
VAT/Tax Registration Certificate Copy,12,18.46%
Tax on Commission,7,10.77%
Outlet Tax Registered,6,9.23%
Business Type,6,9.23%
Tags,5,7.69%
Direct/AM/Sales POC,3,4.62%
Zone Name &amp; Extensional Zones,3,4.62%
Phone Number,2,3.08%
Contract Date,2,3.08%
Send Delivery Related Info,2,3.08%
"Adding or linking Company Details
",2,3.08%
Name,2,3.08%
Operational Hours,2,3.08%
Role,2,3.08%
Send Related Info,2,3.08%
Email,1,1.54%
Certificates Address,1,1.54%
Brand Name,1,1.54%
"Profile Name
",1,1.54%
Location Pin,1,1.54%
Profile Name,1,1.54%
"Role
",1,1.54%
Total,65,4.55%
