Attribute,Total Failures,Failure %
Translation,313,15.03%
Spelling Mistake,214,10.27%
"Translation
",150,7.2%
Addon - Missing/Wrong option name,143,6.87%
Item Name,79,3.79%
Missing items,72,3.46%
Image Uploaded to its Proper Item/Images weren't uploaded,71,3.41%
"Item Name
",59,2.83%
Description,58,2.78%
Categories,48,2.3%
Add-ons,45,2.16%
Item Price,42,2.02%
"Missing Items
",40,1.92%
Tax on Commission,38,1.82%
"Image Uploaded to its Proper Item/Images weren't uploaded
",33,1.58%
Direct/AM/Sales POC,33,1.58%
Name,32,1.54%
Full Address,32,1.54%
"Description
",29,1.39%
Business Type,27,1.3%
"Item Price
",25,1.2%
City,25,1.2%
Delivery Charge,23,1.1%
Delivery Type &amp; Target acceptance time,22,1.06%
Tags,20,0.96%
"Role
",20,0.96%
"Platform, logistic &amp; Payments fees",20,0.96%
Operational Hours,19,0.91%
Contract File Uploaded,19,0.91%
Addon Price,19,0.91%
Role,18,0.86%
No Missing Items,16,0.77%
Trade/Commercial License Copy,16,0.77%
Send Delivery Related Info,14,0.67%
Contract Date,14,0.67%
Discovery Radius,13,0.62%
"Addon (Min :Max)
",12,0.58%
Zone Name &amp; Extensional Zones,12,0.58%
Location Pin,11,0.53%
Add-ons Price,11,0.53%
"Platform Fee, Payment Gateway and Logistics Fees",11,0.53%
Outlet &amp; Contract Type,9,0.43%
"Hero Image
",9,0.43%
"Item Operational Hours 
",8,0.38%
Zone Name/Zone Extensions,8,0.38%
Email,8,0.38%
"Image without Text/Price/Code/Logo/Graphics
",8,0.38%
VAT/Tax Registration Certificate Copy,7,0.34%
Brand Name,7,0.34%
Priority Numbers For Live Order Issues,7,0.34%
Minimum Order Value,6,0.29%
"Profile Name
",6,0.29%
Phone Number,6,0.29%
Addon (Min :Max),5,0.24%
Price Per Person,5,0.24%
Add-ons (Min/Max),5,0.24%
Correct Image Size/Dimensions,5,0.24%
Outlet Tax Registered,5,0.24%
"Calories 
",5,0.24%
Logo Missing,4,0.19%
Food Prep Time,4,0.19%
Profile Name,4,0.19%
"Full Address
",4,0.19%
Adding or linking Company Details,4,0.19%
"Correct Image Size/Dimensions
",3,0.14%
Send Related Info,3,0.14%
"Send Delivery Related Info
",2,0.1%
Correct Brand Linked,2,0.1%
Images Pixelated,2,0.1%
"Adding or linking Company Details
",2,0.1%
"Name
",1,0.05%
MIF File Uploaded ,1,0.05%
Remove Items,1,0.05%
Item Operational Hours ,1,0.05%
Outlet Name,1,0.05%
Item Operational Hours,1,0.05%
TRN,1,0.05%
"Logo Missing
",1,0.05%
"Platform, logistic Payments fees",1,0.05%
Outlet Contract Type,1,0.05%
Bank Details,1,0.05%
Hero Image,1,0.05%
Total,2083,1.22%
