Attribute,Total Failures,Failure %
Tax on Commission,46,7.73%
Direct/AM/Sales POC,38,6.39%
Name,37,6.22%
Business Type,32,5.38%
Full Address,31,5.21%
City,25,4.2%
Delivery Type &amp; Target acceptance time,24,4.03%
Delivery Charge,24,4.03%
Tags,23,3.87%
"Role
",22,3.7%
Contract File Uploaded,21,3.53%
Role,21,3.53%
"Platform, logistic &amp; Payments fees",20,3.36%
Send Delivery Related Info,19,3.19%
Trade/Commercial License Copy,17,2.86%
Contract Date,17,2.86%
Zone Name &amp; Extensional Zones,14,2.35%
Discovery Radius,13,2.18%
Operational Hours,12,2.02%
"Platform Fee, Payment Gateway and Logistics Fees",11,1.85%
Location Pin,10,1.68%
VAT/Tax Registration Certificate Copy,9,1.51%
Brand Name,9,1.51%
Price Per Person,9,1.51%
Priority Numbers For Live Order Issues,9,1.51%
Outlet &amp; Contract Type,9,1.51%
Email,8,1.34%
Phone Number,8,1.34%
Minimum Order Value,7,1.18%
"Profile Name
",7,1.18%
Outlet Tax Registered,7,1.18%
Food Prep Time,5,0.84%
"Adding or linking Company Details
",5,0.84%
Profile Name,4,0.67%
"Full Address
",4,0.67%
Adding or linking Company Details,4,0.67%
Send Related Info,3,0.5%
"Send Delivery Related Info
",2,0.34%
Correct Brand Linked,2,0.34%
TRN,2,0.34%
"Name
",1,0.17%
MIF File Uploaded ,1,0.17%
"Platform, logistic Payments fees",1,0.17%
Outlet Contract Type,1,0.17%
Bank Details,1,0.17%
Total,595,2.22%
