Attribute,Total Failures,Failure %
Translation,381,21.23%
Spelling Mistake,255,14.21%
"Translation
",171,9.53%
Addon - Missing/Wrong option name,154,8.58%
Item Name,93,5.18%
Missing items,77,4.29%
Image Uploaded to its Proper Item/Images weren't uploaded,76,4.23%
"Item Name
",68,3.79%
Description,65,3.62%
Categories,57,3.18%
Item Price,51,2.84%
"Missing Items
",46,2.56%
Add-ons,46,2.56%
"Image Uploaded to its Proper Item/Images weren't uploaded
",34,1.89%
"Item Price
",30,1.67%
"Description
",30,1.67%
No Missing Items,19,1.06%
Addon Price,19,1.06%
"Addon (Min :Max)
",12,0.67%
Add-ons Price,11,0.61%
"Hero Image
",11,0.61%
Operational Hours,10,0.56%
"Image without Text/Price/Code/Logo/Graphics
",9,0.5%
"Item Operational Hours 
",8,0.45%
Zone Name/Zone Extensions,8,0.45%
Add-ons (Min/Max),8,0.45%
Addon (Min :Max),6,0.33%
Correct Image Size/Dimensions,5,0.28%
"Calories 
",5,0.28%
Full Address,4,0.22%
Location Pin,4,0.22%
Logo Missing,4,0.22%
Tags,3,0.17%
"Correct Image Size/Dimensions
",3,0.17%
Images Pixelated,3,0.17%
Item Operational Hours ,2,0.11%
Hero Image,2,0.11%
Remove Items,1,0.06%
City,1,0.06%
Outlet Name,1,0.06%
Item Operational Hours,1,0.06%
"Logo Missing
",1,0.06%
Total,1795,2.38%
